DOI,Journal,Year,Title,Method category,Specific method,Evidence
https://doi.org/10.2307/3323647,Journal of Policy Analysis and Management,1982,The congressional veto: Shifting the balance of administrative control,Qualitative,Descriptive,"""These measures are exerting considerable effect, delaying the decisions of the agencies, reshaping the regulatory process, and increasing the direct congressional role in setting administrative agendas and substantive policies."""
https://doi.org/10.2307/3323648,Journal of Policy Analysis and Management,1982,The fight against fraud and abuse: Analyzing constituent support,Qualitative,Case Study ,"""Illustrations are drawn from the author's experience with New York State's attempt at reform in nursing homes..."""
https://doi.org/10.2307/3323649,Journal of Policy Analysis and Management,1982,Formulating disaster relief when needs are unknown,Qualitative,Descriptive,"""Technical, bureaucratic, and political considerations all contribute to the upward bias in such cases. The errors in early estimates of relief needs can be reduced by systematic means."""
https://doi.org/10.2307/3323650,Journal of Policy Analysis and Management,1982,Price competition and the acquisition of weapons systems,Quantitative,Cost Benefit ,"""This article examines the costs and benefits associated with introducing added producers as a means of stimulating competition."""
https://doi.org/10.2307/3323651,Journal of Policy Analysis and Management,1982,Coping with complexity: An experimental study of public policy decision-making,Quantitative,Experimental,"""Empirical studies of decision-making invariably conclude with profound skepticism about the human capacity to process complex problems."""
https://doi.org/10.2307/3323652,Journal of Policy Analysis and Management,1982,Professional roles for policy analysts: A critical assessment,Qualitative,Descriptive ,"""Their choice of roles will differ, according to some systematic characteristics found in the environment."""
https://doi.org/10.2307/3324702,Journal of Policy Analysis and Management,1982,"The states' scramble for federal funds: Who wins, who loses?",Quantitative,Comparative Analysis,"""Reallocating federal expenditures on an equal per capita basis would reduce regional disparities in flows of federal funds by only about 25 percent. """
https://doi.org/10.2307/3324703,Journal of Policy Analysis and Management,1982,Housing vouchers for the poor,Quantitative,Comparative Analysis,"""Housing vouchers are found to be cheaper than other housing programs and more satisfactory for participants.""

""....is demonstrated in Table 1"""
https://doi.org/10.2307/3324704,Journal of Policy Analysis and Management,1982,Block grants for the needy: The case of AFDC,Quantitative,Econometric Analysis,"""...econometric evidence suggests that under a block grant scheme, the federal contribution must be substantially greater than under a matching grant if the program's beneficiaries are to receive the same level of benefits."""
https://doi.org/10.2307/3324705,Journal of Policy Analysis and Management,1982,Public policy toward life saving: Should consumer preferences rule?,Quantitative,Cost Benefit ,"""Table 1 displays the amount an individual with the posited
utility function will pay for a 0.1 increase in p, as p varies from 0 to 0.9."""
https://doi.org/10.2307/3324706,Journal of Policy Analysis and Management,1982,"New occupations, old demands: The public regulation of paraprofessionals",Qualitative,Descriptive,"""But the costs threaten to exceed the benefits. There are less costly ways to deal with the problems that have given rise to the demands for regulation."""
https://doi.org/10.2307/3324774,Journal of Policy Analysis and Management,1982,Program in search of a policy: The chrysler loan guarantee,Qualitative,Historical ,"""In 1979, the U.S. government responded to the threat that Chrysler might close its doors with a program that had almost no U.S. precedents."""
https://doi.org/10.2307/3324775,Journal of Policy Analysis and Management,1982,Professionals at bay: Managing boston's public schools,Qualitative,Descriptive,"""In the process, the critical roles are those of amateurs, neither committed to the organization or program, nor responsible for results."""
https://doi.org/10.2307/3324776,Journal of Policy Analysis and Management,1982,International agencies and the art of the possible: The case of the IEA,Qualitative,Case Study,"""This emphasis on informal bargaining reflected a sophisticated awareness, on the part of the IEA secretariat and many governmental representatives, both of the constraints on international organizations and of their value as a catalyst for coalitions of public and private officials."""
https://doi.org/10.2307/3324777,Journal of Policy Analysis and Management,1982,Government executives as Gamesmen: A metaphor for analyzing managerial behavior,Qualitative,Theoretical Analysis,"""The study of public management is hampered by the lack of theory to guide research on the roles and contributions of public managers."""
https://doi.org/10.2307/3324778,Journal of Policy Analysis and Management,1982,Is the consumer price index a fair measure of inflation?,Quantitative,Statistical Analysis ,"""...principle, this distinction can be as important as the difference between real price increases and pure inflation, a fact that is illustrated by the example in Table 1."""
https://doi.org/10.2307/3324779,Journal of Policy Analysis and Management,1982,A comment on Wahl's argument,,,
https://doi.org/10.2307/3324780,Journal of Policy Analysis and Management,1982,"Voting on public spending: Differences between public employees, transfer recipients, and private workers",Quantitative,Statistical Analysis,"""The data used to try to answer this question come from a 1978
voter survey in the state of Michigan."""
https://doi.org/10.1002/pam.4050010409,Journal of Policy Analysis and Management,1982,Nuts and bolts,,,
https://doi.org/10.2307/3324351,Journal of Policy Analysis and Management,1982,The plight of universal social services,Qualitative,Historical/Comparative Analysis ,"""This expansion of the welfare state was related to several social and demographic trends, and was accompanied by basic changes in the scope and purpose of social services."""
https://doi.org/10.2307/3324352,Journal of Policy Analysis and Management,1982,The power to make war: Congress' search for an effective role,Qualitative,Historical Analysis ,"""In the heat of Vietnam and Watergate, Congress sought to develop a more effective role in decisions about the use of the armed forces in combat or in potential combat situations. The War Powers Resolution passed in November 1973 was the solution Congress devised to this problem.""
"
 https://doi.org/10.2307/3324353,Journal of Policy Analysis and Management,1982,The power not to tax: A search for effective controls,Qualitative,"Descriptive
","""In the Budget Act Congress, for the first time, recognized and defined these ""tax expenditures"" and adopted procedures for reviewing them."""
 https://doi.org/10.2307/3324354,Journal of Policy Analysis and Management,1982,With consent of the governed: SEC's formative years,Qualitative,Historical Analysis ,"""The setting of the Securities Act of 1933 and the Securities Exchange Act of 1934 was, of course, the Great Depression (see table below)."""
 https://doi.org/10.2307/3324355,Journal of Policy Analysis and Management,1982,Inferences from alarming events,Quantitative,Statistical ,"""Using a simple probability model, we derive methods for drawing statistical inferences based only on the magnitude of the first event noticed and the amount of exposure before this event occurred."""
https://doi.org/10.2307/3324356,Journal of Policy Analysis and Management,1982,The judge as manager: The case of judge Frank Johnson,Qualitative,Case Study ,"""In omnibus cases, the judge may be more interested in pushing state officials in the ""right"" direction than in securing full compliance with any specific set of absolute standards."""
 https://doi.org/10.2307/3324001,Journal of Policy Analysis and Management,1983,Influencing retirement behavior: A key issue for social security,Quantitative,Cost-Benefit,"""Data from the federal government's decennial census and Current Population Survey series show that between 1950 and 1980 the labor force.""

"
https://doi.org/10.2307/3324002,Journal of Policy Analysis and Management,1983,Unintended consequences: Regulating the quality of subsidized day care,Qualitative,Historical Analysis,"""All these possibilities are illustrated by the history of federal regulation in subsidizing child day care."""
https://doi.org/10.2307/3324003,Journal of Policy Analysis and Management,1983,Limited government: An incoherent concept,Qualitative,Theoretical Analysis ,"""analyze the coherence of the doctrine of
limited government."""
 https://doi.org/10.2307/3324004,Journal of Policy Analysis and Management,1983,Government allocation of property rights: Who gets what?,Quantitative,Statistical Analysis ,"""Table 1. Design characteristics of twelve cases."""
 https://doi.org/10.2307/3324005,Journal of Policy Analysis and Management,1983,The postal service: Economics made simplistic,Qualitative,Descriptive,"""This experience illustrates the dangers of narrowly applying the principles of economic theory, as well as the risks of ignoring practical problems of implementation."""
https://doi.org/10.2307/3324006,Journal of Policy Analysis and Management,1983,Airline deregulation: What's behind the recent losses?,Quantitative,Experimental ,"""But simulations suggest that the current recession and the 1979 fuel price increase are primarily to blame."""
 https://doi.org/10.2307/3324007,Journal of Policy Analysis and Management,1983,When local participation helps,Qualitative,Theoretical/Descriptive,"""Experience with irrigation projects in developing countries is consistent with this ""sensitivity hypothesis,.."""
 https://doi.org/10.2307/3323280,Journal of Policy Analysis and Management,1983,Presidential oversight: Controlling the regulators,Qualitative,Theoretical/Descriptive,"""Proposals for a so-called regulatory budget, within which each agency would be obliged to operate, could expand the oversight authority; but it is too exclusively cost-oriented."""
 https://doi.org/10.2307/3323281,Journal of Policy Analysis and Management,1983,Can evaluations influence programs? The case of compensatory education,Qualitative,Case Study ,"""The National Institute of Education's evaluation of Title I of the Elementary and Secondary Education act, used extensively by Congress in 1977-1978,.."""
 https://doi.org/10.2307/3323282,Journal of Policy Analysis and Management,1983,The bird in hand: A feasible strategy for gun control,Qualitative,Descriptive,"""Policy analysis has failed to guide gun control policy away from its current impasse because analysts have avoided facing several crucially important features of the current reality..."""
 https://doi.org/10.2307/3323283,Journal of Policy Analysis and Management,1983,Restraining auto imports: Does anyone win?,Qualitative,"Descriptive
","""In the longer term, however, trade restraint may encourage foreign firms to adopt new and more threatening business strategies, such as upgrading the quality of their products or moving plants to the United States."""
 https://doi.org/10.2307/3323284,Journal of Policy Analysis and Management,1983,Managing resources that are common property: From Kathmandu to Capitol Hill,Qualitative,Theoretical/Descriptive ,""" Increasing human populations are likely to increase the seriousness of the problems associated with the use of common property, especially for those types of common property that are geographically fixed."""
 https://doi.org/10.2307/3323285,Journal of Policy Analysis and Management,1983,When are price differentials discriminatory?,Qualitative,Descriptive,"""Many economists have concluded that such instances constitute an unmistakable signal of the presence of imperfections in the competitive process."""
 https://doi.org/10.2307/3323286,Journal of Policy Analysis and Management,1983,Who supports tax limitations: Evidence from massachusetts' proposition 2½,Quantitative,Statistical,"""This study shows that other characteristics such as sex, race, religion, occupation, educational background, and political orientation also have an important influence on voting behavior."""
 https://doi.org/10.2307/3323569,Journal of Policy Analysis and Management,1983,Government support of technical progress: Lessons from history,Qualitative,Historical/Descriptive,"""The record of such programs in seven industries offers important guidelines."""
 https://doi.org/10.2307/3323570,Journal of Policy Analysis and Management,1983,The three faces of evaluation,Qualitative,Case Study,"""The case of the evaluation of civil service reform demonstrates how these multiple purposes can be pursued together with constructive results."""
 https://doi.org/10.2307/3323571,Journal of Policy Analysis and Management,1983,A frame for the three faces,Qualitative,Descriptive,"""..she uses to describe the evaluation process makes an important contribution to our understanding of evaluation."""
 https://doi.org/10.2307/3323572,Journal of Policy Analysis and Management,1983,The day care tangle: Unexpected outcomes when programs interact,Qualitative,Descriptive,"""Congressional changes to the AFDC program, for example, created large changes in the financial incentives for families to choose publicly subsidized day care over private day care, even though subsidized day care is more expensive for the government."""
 https://doi.org/10.2307/3323573,Journal of Policy Analysis and Management,1983,Public versus private ownership: The federal lands case,Qualitative,Theoretical/Descriptive,"""Historically, these objectives have motivated legislation authorizing retention of some land in public ownership."""
 https://doi.org/10.2307/3323574,Journal of Policy Analysis and Management,1983,“Acceptable risk”: The case of nuclear power,Qualitative,Descriptive,"""It has listened to a
variety of individuals and has incorporated arguments generated
by a variety of methods."""
 https://doi.org/10.2307/3323575,Journal of Policy Analysis and Management,1983,Is self-regulation possible?,Qualitative,Theoretical Analysis ,"""The key to self-regulation is to structure incentives so that it is clearly within the nuclear utilities' interests to build and operate nuclear power facilities in the safest manner possible."""
 https://doi.org/10.2307/3324445,Journal of Policy Analysis and Management,1983,Overcoming ethnic inequalities: Lessons from Malaysia,Qualitative,Historical/Descriptive,"""Beginning in 1971, Malaysia took unprecedented steps to improve the welfare of ethnic Malays vis-à-vis the country's large Chinese minority."""
https://doi.org/10.2307/3324446,Journal of Policy Analysis and Management,1983,How nonprofits grow: A model,Qualitative,Descriptive,"""In general, we have observed that the nonprofit organization chooses its mix of activities differently from a for-profit organization or a government agency."""
 https://doi.org/10.2307/3324447,Journal of Policy Analysis and Management,1983,Why most private hospitals are nonprofit,Quantitative,Statistical/Data collection,"""Data collected by Harris for a sample group of hospitals reflect
the strong tendency of hospitals to engage in cross subsidization of different services."""
https://doi.org/10.2307/3324448,Journal of Policy Analysis and Management,1983,Public or private health services? A Skeptic's view,Qualitative,Theoretical ,"""For many years economists writing on the delivery of health services dusted off the traditional promarket analyses of textbooks and applied them uncritically to the health care industry."""
https://doi.org/10.2307/3324449,Journal of Policy Analysis and Management,1983,How clients' characteristics affect organization performance: Lessons from education,Qualitative,Comparative Analysis ,"""Comparison of these predicted scores with the average test scores of the students in each sector that are displayed in Table 1 is informative."""
 https://doi.org/10.2307/3324450,Journal of Policy Analysis and Management,1983,When complex facts threaten court reviews: Litigation over navigation projects,Qualitative,Case Study/Descriptive,"""Two cases from the operations of the U.S. Army Corps of Engineers, summarized below, illustrate these problems in an acute form."""
 https://doi.org/10.2307/3324451,Journal of Policy Analysis and Management,1983,The market needs help: The disappointing record of home energy conservation,Qualitative,Historical ,"""Ten years of experience after the 1973 oil crisis raises doubts about the feasibility of residential conservation as a short-term energy strategy, and suggests that new policies..."""
 https://doi.org/10.2307/3323850,Journal of Policy Analysis and Management,1984,Regional coordination of federal programs: Has the difficult grown impossible?†,Qualitative,Historical/Descriptive ,"""...during the 1960s and 1970s, the U.S. government sought to bring about some degree of coordination among the programs in any given region through a network of regional clearinghouses."""
 https://doi.org/10.2307/3323852,Journal of Policy Analysis and Management,1984,Policymaking by partnership: Reshaping youth employment policy,Qualitative,Comparative Analysis,"""...comparative analysis of youth unemployment programs has to offer is that those national programs in which organized business and labor played an active..."""
https://doi.org/10.2307/3323853,Journal of Policy Analysis and Management,1984,Linking Managers With Ministers: Dilemmas of the state owned enterprise†,Qualitative,Descriptive,"""The resulting relationships between ministers and managers have produced a pattern of behavior by state-owned enterprises that differs considerably at times from those of private enterprises."""
 https://doi.org/10.2307/3323854,Journal of Policy Analysis and Management,1984,How the spending patterns of cities change: Budgetary incrementalism reexamined,Quantitative,Case Study,"""However, with data from 105 West German cities, the present study is able to provide an answer."""
 https://doi.org/10.2307/332385,Journal of Policy Analysis and Management,1984,Using Implementation Research to Solve Implementation Problems: The Case of Energy Emergency Assistance,Qualitative,Case Study ,"""An expanding number of case studies of implementation
processes have by now amply demonstrated the fact that the ultimate actions of the government frequently do not correspond to policies decreed by decision-makers."""
 https://doi.org/10.2307/3323856,Journal of Policy Analysis and Management,1984,Contexts and epiphanies: Policy analysis and the humanities†,Qualitative,,
 https://doi.org/10.1002/pam.4050030202,Journal of Policy Analysis and Management,1984,Continuity and change in U.S. foreign policy: Carter and reagan on el salvador,,,
https://doi.org/10.1002/pam.4050030203,Journal of Policy Analysis and Management,1984,Modeling individuals' behavior: Evaluation of a policymaker's tool,,,
https://doi.org/10.1002/pam.4050030204,Journal of Policy Analysis and Management,1984,Evaluating the effects of automobile safety regulation,,,
 https://doi.org/10.1002/pam.4050030205,Journal of Policy Analysis and Management,1984,Using knowledge for control in fragmented policy arenas,,,
 https://doi.org/10.1002/pam.4050030206,Journal of Policy Analysis and Management,1984,Achieving excellence in education and management,,,
https://doi.org/10.1002/pam.4050030207,Journal of Policy Analysis and Management,1984,Cost cutting without goal setting: A recipe for failure,,,
 https://doi.org/10.1002/pam.4050030208,Journal of Policy Analysis and Management,1984,The politics of french nuclear development,,,
 https://doi.org/10.1002/pam.4050030209,Journal of Policy Analysis and Management,1984,Subsidizing the affluent: The case of medical education,,,
 https://doi.org/10.1002/pam.4050030402,Journal of Policy Analysis and Management,1984,From analyst to negotiator: The OMB's new role,,,
 https://doi.org/10.1002/pam.4050030403,Journal of Policy Analysis and Management,1984,Planning science and technology policy,,,
 https://doi.org/10.1002/pam.4050030404,Journal of Policy Analysis and Management,1984,Coping with transborder penetration: The politics of television,,,
  https://doi.org/10.1002/pam.4050030405,Journal of Policy Analysis and Management,1984,Understanding political risk in investment planning,,,
 https://doi.org/10.1002/pam.4050030406,Journal of Policy Analysis and Management,1984,On a code of ethics for policy experts,,,
 https://doi.org/10.1002/pam.4050030407,Journal of Policy Analysis and Management,1984,Why policy analysis and ethics are incompatible,,,
https://doi.org/10.1002/pam.4050030408,Journal of Policy Analysis and Management,1984,JPAM'S third year,,,
 https://doi.org/10.1002/pam.4050030302,Journal of Policy Analysis and Management,1984,State support under the new federalism,,,
 https://doi.org/10.1002/pam.4050030303,Journal of Policy Analysis and Management,1984,The price of local discretion: Inequalities in welfare spending within texas,,,
https://doi.org/10.1002/pam.4050030304,Journal of Policy Analysis and Management,1984,After the congressional veto: Assessing the alternatives,,,
 https://doi.org/10.1002/pam.4050030305,Journal of Policy Analysis and Management,1984,The continuing threat of oil supply interruptions,,,
 https://doi.org/10.1002/pam.4050030306,Journal of Policy Analysis and Management,1984,Flying high: A case study of Japanese industrial policy,,,
 https://doi.org/10.1002/pam.4050030307,Journal of Policy Analysis and Management,1984,Advising congressional decision-makers: Guidelines for economists,,,
https://doi.org/10.1002/pam.4050050101,Journal of Policy Analysis and Management,1985,Economics and politics of deregulation,,,
https://doi.org/10.1002/pam.4050050102,Journal of Policy Analysis and Management,1985,Mediating science-intensive policy disputes,,,
https://doi.org/10.1002/pam.4050050103,Journal of Policy Analysis and Management,1985,Markets and politics in France's declining regions,,,
https://doi.org/10.1002/pam.4050050104,Journal of Policy Analysis and Management,1985,Public policy evaluation in France,,,
https://doi.org/10.1002/pam.4050050105,Journal of Policy Analysis and Management,1985,Federalism and nuclear waste disposal: The struggle over shared decision making,,,
https://doi.org/10.1002/pam.4050050106,Journal of Policy Analysis and Management,1985,Action research: A model for organizational learning,,,
https://doi.org/10.1002/pam.4050050107,Journal of Policy Analysis and Management,1985,Through a glass darkly: Cause and effect in refugee resettlement policies,,,
https://doi.org/10.1002/pam.4050050109,Journal of Policy Analysis and Management,1985,Rescuing policy analysis from the civil service,,,
https://doi.org/10.1002/pam.4050050110,Journal of Policy Analysis and Management,1985,The similarity between a prohibitive tariff and a divorce,,,
https://doi.org/10.1002/pam.4050050111,Journal of Policy Analysis and Management,1985,Influencing retirement behavior: Untangling the effects of income taxation of social security benefits,,,
https://doi.org/10.1002/pam.4050050112,Journal of Policy Analysis and Management,1985,What is policy analysis?,,,
https://doi.org/10.2307/3323750,Journal of Policy Analysis and Management,1985,Administering social welfare: The reagan record,,,
https://doi.org/10.2307/3323751,Journal of Policy Analysis and Management,1985,Designing a tax incentive scheme: The case of a wage tip†,,,
https://doi.org/10.2307/3323752,Journal of Policy Analysis and Management,1985,Myth and reality: The causes and persistence of poverty,,,
https://doi.org/10.2307/3323753,Journal of Policy Analysis and Management,1985,Evaluating the effects of changes in AFDC: Methodological issues and challenges,,,
https://doi.org/10.2307/3324188,Journal of Policy Analysis and Management,1985,Cotton dust regulation: An OSHA success story?,,,
https://doi.org/10.2307/3324190,Journal of Policy Analysis and Management,1985,Game tree analysis of international crises,,,
https://doi.org/10.2307/3324191,Journal of Policy Analysis and Management,1985,Public support for private R&D: The case of the research tax credit†,,,
https://doi.org/10.2307/3324192,Journal of Policy Analysis and Management,1985,Making policy for complex systems: A medical model for economics,,,
https://doi.org/10.2307/3324193,Journal of Policy Analysis and Management,1985,Managing the NATO alliance: Congress and burdensharing†,,,
https://doi.org/10.2307/3324194,Journal of Policy Analysis and Management,1985,Copyright: When is monopoly efficient?†,,,
https://doi.org/10.2307/3324622,Journal of Policy Analysis and Management,1985,Cutback budgeting,,,
https://doi.org/10.2307/3324623,Journal of Policy Analysis and Management,1985,When government programs create inequities: A guide to compensation policies,,,
https://doi.org/10.2307/3324624,Journal of Policy Analysis and Management,1985,Modeling complexity: Using dynamic simulation to link regression and case studies†,,,
https://doi.org/10.2307/3324625,Journal of Policy Analysis and Management,1985,The limits of incrementalism: Carter's efforts at tax reform,,,
https://doi.org/10.1002/pam.4050060102,Journal of Policy Analysis and Management,1986,Formula budgeting: The economics and analytics of fiscal policy under rules,,,
https://doi.org/10.1002/pam.4050060103,Journal of Policy Analysis and Management,1986,How important is information format? An experimental study of home energy audit programs,,,
https://doi.org/10.1002/pam.4050060104,Journal of Policy Analysis and Management,1986,Industry effects of medical device regulation: The case of diagnostic imaging equipment,,,
https://doi.org/10.1002/pam.4050060105,Journal of Policy Analysis and Management,1986,Political and organizational analysis in the policy curriculum†,,,
https://doi.org/10.1002/pam.4050060106,Journal of Policy Analysis and Management,1986,Ethics and education for the public service in a liberal state,,,
https://doi.org/10.1002/pam.4050060107,Journal of Policy Analysis and Management,1986,Graduate education in public management: Working the seams of govern,,,
https://doi.org/10.1002/pam.4050060108,Journal of Policy Analysis and Management,1986,THE GHOSTS OF DEREGULATED TELECOMMUNICATIONS: AN ESSAY BY EXORCISTS,,,
https://doi.org/10.1002/pam.4050060109,Journal of Policy Analysis and Management,1986,A NEW VIEW OF COPYRIGHT,,,
https://doi.org/10.1002/pam.4050060110,Journal of Policy Analysis and Management,1986,COMPARABLE WORTH IS IN THE EYE OF THE BEHOLDER,,,
https://doi.org/10.1002/pam.4050060111,Journal of Policy Analysis and Management,1986,TIME FOR CHANGE IN STATE-LOCAL RELATIONS,,,
https://doi.org/10.1002/pam.4050060112,Journal of Policy Analysis and Management,1986,IT'S WORSE THAN YOU THOUGHT: FURTHER FLAWS IN PRICE CONTROLS AS A DEVICE FOR TRANSFERRING SCARCITY RENTS,,,
https://doi.org/10.1002/pam.4050050401,Journal of Policy Analysis and Management,1986,The issue of standing in cost-benefit analysis,,,
https://doi.org/10.1002/pam.4050050402,Journal of Policy Analysis and Management,1986,Federal tax reform and the financing of state and local governments,,,
https://doi.org/10.1002/pam.4050050403,Journal of Policy Analysis and Management,1986,Nonmoney income and the elderly: The case of the tweeners,,,
https://doi.org/10.1002/pam.4050050404,Journal of Policy Analysis and Management,1986,Cashing out food stamps: Impacts on food expenditures and diet quality,,,
https://doi.org/10.1002/pam.4050050405,Journal of Policy Analysis and Management,1986,To pay or not to pay: A model of international defaults,,,
https://doi.org/10.1002/pam.4050050406,Journal of Policy Analysis and Management,1986,The narrative structure of policy analysis,,,
https://doi.org/10.1002/pam.4050050407,Journal of Policy Analysis and Management,1986,Big decisions and a culture of decisionmaking,,,
https://doi.org/10.1002/pam.4050050408,Journal of Policy Analysis and Management,1986,A comment: Telling the big stories-policy responses to analytical complexity,,,
https://doi.org/10.1002/pam.4050050409,Journal of Policy Analysis and Management,1986,JPAM's fifth year,,,
https://doi.org/10.1002/pam.4050050302,Journal of Policy Analysis and Management,1986,Regulatory reform and OSHA policy,,,
https://doi.org/10.1002/pam.4050050303,Journal of Policy Analysis and Management,1986,The status of OSHA reform: A comment on mendeloff's proposals,,,
https://doi.org/10.1002/pam.4050050304,Journal of Policy Analysis and Management,1986,Comments on Mendeloff's “regulatory reform and OSHA policy”,,,
https://doi.org/10.1002/pam.4050050305,Journal of Policy Analysis and Management,1986,Negotiated rulemaking in practice,,,
https://doi.org/10.1002/pam.4050050306,Journal of Policy Analysis and Management,1986,Natural gas deregulatin: The need for further reform,,,
https://doi.org/10.1002/pam.4050050307,Journal of Policy Analysis and Management,1986,Deregulatin and the courts,,,
https://doi.org/10.1002/pam.4050050308,Journal of Policy Analysis and Management,1986,The realpolitik of judicial review in a deregulation era,,,
https://doi.org/10.1002/pam.4050050309,Journal of Policy Analysis and Management,1986,Controllership in the public sector,,,
https://doi.org/10.1002/pam.4050050310,Journal of Policy Analysis and Management,1986,Maximizing the public benefits of the AT&T breakup,,,
https://doi.org/10.1002/pam.4050050311,Journal of Policy Analysis and Management,1986,Maintaining universal telephone service under deregulation,,,
https://doi.org/10.1002/pam.4050050312,Journal of Policy Analysis and Management,1986,Better regulatory compliance through environmental auditing: A reform whose time has passed,,,
https://doi.org/10.1002/pam.4050050313,Journal of Policy Analysis and Management,1986,Lottery taxes may be too high,,,
https://doi.org/10.1002/pam.4050050314,Journal of Policy Analysis and Management,1986,The lagged effect of the 1981 federal AFDC legislation on work effort,,,
https://doi.org/10.1002/pam.4050050202,Journal of Policy Analysis and Management,1986,Blind spots in policy analysis: What economics doesn't say about energy use,,,
https://doi.org/10.1002/pam.4050050203,Journal of Policy Analysis and Management,1986,Comment: “blind spots” in perspective,,,
https://doi.org/10.1002/pam.4050050204,Journal of Policy Analysis and Management,1986,Economists and politicians,,,
https://doi.org/10.1002/pam.4050050205,Journal of Policy Analysis and Management,1986,Competitive bidding and states' purchase of services: The case of mental health care in Massachusetts,,,
https://doi.org/10.1002/pam.4050050206,Journal of Policy Analysis and Management,1986,The potential for industrial policy: Lessons from the very high speed integrated circuit program,,,
https://doi.org/10.1002/pam.4050050207,Journal of Policy Analysis and Management,1986,The evaluation of economic development conflict is present: Projects where military investing in health care in el salvador,,,
https://doi.org/10.1002/pam.4050050208,Journal of Policy Analysis and Management,1986,The political hand: Policy implementation and youth employment program,,,
https://doi.org/10.1002/pam.4050050209,Journal of Policy Analysis and Management,1986,Limits of the comprehensive services model: The case of adolescent pregnancy programs,,,
https://doi.org/10.1002/pam.4050050210,Journal of Policy Analysis and Management,1986,The changing role of social experiments in policy analysis,,,
https://doi.org/10.1002/pam.4050050212,Journal of Policy Analysis and Management,1986,The evolution of the policy sciences: Understanding the rise and avoiding the fall,,,
https://doi.org/10.1002/pam.4050050213,Journal of Policy Analysis and Management,1986,Classical management strategies for public administrators,,,
https://doi.org/10.1002/pam.4050050214,Journal of Policy Analysis and Management,1986,Helping protectthe elderly and the public against the catastrophic costs of long-term care,,,
https://doi.org/10.1002/pam.4050050215,Journal of Policy Analysis and Management,1986,Anna's life expectancy,,,
https://doi.org/10.2307/3323506,Journal of Policy Analysis and Management,1987,Privatization of public-sector services in theory and practice,,,
https://doi.org/10.2307/3323507,Journal of Policy Analysis and Management,1987,Roles of government in a mixed economy,,,
https://doi.org/10.2307/3323510,Journal of Policy Analysis and Management,1987,"Privatization, information and incentives",,,
https://doi.org/10.2307/3323513,Journal of Policy Analysis and Management,1987,Privatization as institutional choice,,,
https://doi.org/10.2307/3323516,Journal of Policy Analysis and Management,1987,Privatization of public-sector services in practice: Experience and potential,,,
https://doi.org/10.2307/3323521,Journal of Policy Analysis and Management,1987,Privatization and bidding in the health-care sector,,,
https://doi.org/10.2307/3323524,Journal of Policy Analysis and Management,1987,Justifying Public Provision of Social Security,,,
https://doi.org/10.1002/pam.4050060411,Journal of Policy Analysis and Management,1987,JPAM's sixth year,,,
https://doi.org/10.2307/3323726,Journal of Policy Analysis and Management,1988,Doubling the estimated value of life: Results using new occupational fatality data,,,
https://doi.org/10.2307/3323727,Journal of Policy Analysis and Management,1988,A critique of quasiexperimental and statistical controils for measuring program effects: Application to urban growth control,,,
